elapsed,label,threadName,bytes,sentBytes,grpThreads
827,HTTP Request Large 13MB,Thread Group 5 5-9,13631755,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-9,3332,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-3,1284,122,20
230,HTTP Request Medium 2MB,Thread Group 5 5-8,2097418,122,20
2736,HTTP Request Large 20MB,Thread Group 5 5-4,20971788,122,20
183,HTTP Request Medium 3MB,Thread Group 5 5-18,3145994,122,20
23,HTTP Request Little 1KB,Thread Group 5 5-1,1284,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-12,1284,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-16,3332,122,20
199,HTTP Request Medium 2MB,Thread Group 5 5-4,2097418,122,20
176,HTTP Request Medium 2MB,Thread Group 5 5-6,2097418,122,20
846,HTTP Request Large 13MB,Thread Group 5 5-13,13631755,122,20
746,HTTP Request Large 13MB,Thread Group 5 5-11,13631755,122,20
76,HTTP Request Medium 2MB,Thread Group 5 5-13,2097418,122,20
1691,HTTP Request Large 20MB,Thread Group 5 5-10,20971788,122,20
108,HTTP Request Medium 2MB,Thread Group 5 5-7,2097418,122,20
1539,HTTP Request Large 20MB,Thread Group 5 5-14,20971788,122,20
749,HTTP Request Large 16MB,Thread Group 5 5-20,16777484,122,20
5,HTTP Request Little 3KB,Thread Group 5 5-14,3332,122,20
867,HTTP Request Large 16MB,Thread Group 5 5-15,16777484,122,20
6,HTTP Request Little 1KB,Thread Group 5 5-8,1284,122,20
6,HTTP Request Little 1KB,Thread Group 5 5-19,1284,122,20
92,HTTP Request Medium 2MB,Thread Group 5 5-15,2097418,122,20
310,HTTP Request Large 10MB,Thread Group 5 5-11,10486027,122,20
1286,HTTP Request Large 20MB,Thread Group 5 5-17,20971788,122,20
7,HTTP Request Little 2KB,Thread Group 5 5-9,2308,122,20
916,HTTP Request Large 20MB,Thread Group 5 5-5,20971788,122,20
6,HTTP Request Little 3KB,Thread Group 5 5-4,3332,122,20
313,HTTP Request Large 10MB,Thread Group 5 5-20,10486027,122,20
7,HTTP Request Little 1KB,Thread Group 5 5-6,1284,122,20
145,HTTP Request Medium 3MB,Thread Group 5 5-17,3145994,122,20
119,HTTP Request Medium 3MB,Thread Group 5 5-5,3145994,122,20
