timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675879518416,53,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,1285,111,2,2,http://192.168.33.4/1,53,0,1
1675879518467,5,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,1285,111,2,2,http://192.168.33.4/1,5,0,1
1675879518516,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-3,,true,,2309,122,3,3,http://192.168.33.4/cSE5YWFXH7Ev,4,0,1
1675879518568,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-4,,true,,1285,111,4,4,http://192.168.33.4/1,4,0,1
1675879518576,2,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,2308,122,4,4,http://192.168.33.4/P60Yf4SiU0JI,2,0,0
1675879518616,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,2309,122,5,5,http://192.168.33.4/cSE5YWFXH7Ev,3,0,1
1675879518628,1,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,2308,122,5,5,http://192.168.33.4/P60Yf4SiU0JI,1,0,0
1675879518670,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-6,,true,,1285,111,6,6,http://192.168.33.4/1,3,0,1
1675879518721,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-7,,true,,2309,122,7,7,http://192.168.33.4/cSE5YWFXH7Ev,4,0,1
1675879518757,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-3,,true,,2308,122,7,7,http://192.168.33.4/P60Yf4SiU0JI,3,0,0
1675879518767,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-8,,true,,2309,122,8,8,http://192.168.33.4/cSE5YWFXH7Ev,4,0,1
1675879518821,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-9,,true,,2309,122,9,9,http://192.168.33.4/P60Yf4SiU0JI,3,0,1
1675879518869,6,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-10,,true,,2309,122,10,10,http://192.168.33.4/P60Yf4SiU0JI,6,0,1
1675879518888,1,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-4,,true,,2308,122,10,10,http://192.168.33.4/cSE5YWFXH7Ev,1,0,0
1675879518895,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,2308,122,10,10,http://192.168.33.4/cSE5YWFXH7Ev,3,0,0
1675879518917,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-11,,true,,1285,111,11,11,http://192.168.33.4/1,3,0,1
1675879518966,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-12,,true,,2309,122,12,12,http://192.168.33.4/cSE5YWFXH7Ev,3,0,1
1675879519018,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,1284,111,13,13,http://192.168.33.4/1,3,0,0
1675879519018,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-13,,true,,1285,111,13,13,http://192.168.33.4/1,4,0,1
1675879519028,2,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,2308,122,13,13,http://192.168.33.4/cSE5YWFXH7Ev,2,0,0
1675879519069,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-14,,true,,2309,122,14,14,http://192.168.33.4/cSE5YWFXH7Ev,4,0,1
1675879519118,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-15,,true,,1285,111,15,15,http://192.168.33.4/1,4,0,1
1675879519151,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-6,,true,,2308,122,15,15,http://192.168.33.4/cSE5YWFXH7Ev,3,0,0
1675879519169,5,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-16,,true,,2309,122,16,16,http://192.168.33.4/P60Yf4SiU0JI,5,0,2
1675879519219,4,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-17,,true,,2309,122,17,17,http://192.168.33.4/P60Yf4SiU0JI,4,0,1
1675879519270,5,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-18,,true,,2309,122,18,18,http://192.168.33.4/P60Yf4SiU0JI,5,0,1
1675879519281,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-7,,true,,2308,122,18,18,http://192.168.33.4/P60Yf4SiU0JI,3,0,0
1675879519316,4,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-19,,true,,2309,122,19,19,http://192.168.33.4/P60Yf4SiU0JI,4,0,2
1675879519318,2,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-3,,true,,1284,111,19,19,http://192.168.33.4/1,2,0,0
1675879519371,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-20,,true,,1285,111,20,20,http://192.168.33.4/1,3,0,1
1675879519407,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-8,,true,,1284,111,20,20,http://192.168.33.4/1,3,0,0
