timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675878845184,45,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,2309,122,1,1,http://192.168.33.4/cSE5YWFXH7Ev,45,0,2
1675878845236,2,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,2309,122,2,2,http://192.168.33.4/cSE5YWFXH7Ev,2,0,1
1675878845266,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,1284,111,2,2,http://192.168.33.4/1,4,0,0
1675878845284,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-3,,true,,2309,122,3,3,http://192.168.33.4/cSE5YWFXH7Ev,4,0,2
1675878845334,10,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-4,,true,,2309,122,4,4,http://192.168.33.4/cSE5YWFXH7Ev,10,0,1
1675878845385,5,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,2309,122,5,5,http://192.168.33.4/P60Yf4SiU0JI,5,0,2
1675878845396,2,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,2308,122,5,5,http://192.168.33.4/P60Yf4SiU0JI,2,0,0
1675878845425,1,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,2308,122,5,5,http://192.168.33.4/P60Yf4SiU0JI,1,0,0
1675878845436,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-6,,true,,1285,111,6,6,http://192.168.33.4/1,3,0,1
1675878845486,5,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-7,,true,,2309,122,7,7,http://192.168.33.4/P60Yf4SiU0JI,5,0,2
1675878845525,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-3,,true,,1284,111,7,7,http://192.168.33.4/1,4,0,0
1675878845537,4,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-8,,true,,2309,122,8,8,http://192.168.33.4/P60Yf4SiU0JI,4,0,1
1675878845583,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-9,,true,,1285,111,9,9,http://192.168.33.4/1,4,0,2
1675878845636,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-10,,true,,1285,111,10,10,http://192.168.33.4/1,4,0,1
1675878845654,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-4,,true,,2308,122,10,10,http://192.168.33.4/P60Yf4SiU0JI,3,0,0
1675878845686,7,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-11,,true,,1285,111,11,11,http://192.168.33.4/1,7,0,2
1675878845737,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-12,,true,,1285,111,12,12,http://192.168.33.4/1,4,0,1
1675878845787,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,2308,122,13,13,http://192.168.33.4/cSE5YWFXH7Ev,3,0,0
1675878845786,10,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-13,,true,,2309,122,13,13,http://192.168.33.4/P60Yf4SiU0JI,10,0,2
1675878845798,2,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,1284,111,13,13,http://192.168.33.4/1,2,0,0
1675878845825,2,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-1,,true,,2308,122,13,13,http://192.168.33.4/P60Yf4SiU0JI,2,0,0
1675878845837,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-14,,true,,2309,122,14,14,http://192.168.33.4/cSE5YWFXH7Ev,4,0,1
1675878845885,4,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-15,,true,,2309,122,15,15,http://192.168.33.4/P60Yf4SiU0JI,4,0,1
1675878845916,2,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-6,,true,,2308,122,15,15,http://192.168.33.4/cSE5YWFXH7Ev,2,0,0
