timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675931029418,96,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,1285,111,5,5,http://192.168.33.4/1,92,0,49
1675931029491,24,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,2309,122,5,5,http://192.168.33.4/P60Yf4SiU0JI,20,0,1
1675931029541,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-6,,true,,2309,122,6,6,http://192.168.33.4/P60Yf4SiU0JI,3,0,1
1675931029590,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-7,,true,,2309,122,7,7,http://192.168.33.4/cSE5YWFXH7Ev,3,0,1
1675931029640,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-8,,true,,2309,122,8,8,http://192.168.33.4/cSE5YWFXH7Ev,3,0,1
1675931029691,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-9,,true,,1285,111,9,9,http://192.168.33.4/1,4,0,1
1675931029739,3,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-2,,true,,2308,122,10,10,http://192.168.33.4/cSE5YWFXH7Ev,3,0,0
1675931029739,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-10,,true,,1285,111,10,10,http://192.168.33.4/1,3,0,1
1675931029790,3,HTTP Request Little 3KB,200,OK,Thread Group 1 - Little 750 1-11,,true,,2309,122,11,11,http://192.168.33.4/P60Yf4SiU0JI,3,0,1
1675931029840,4,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-12,,true,,2309,122,12,12,http://192.168.33.4/cSE5YWFXH7Ev,4,0,2
1675931029890,3,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-5,,true,,1284,111,13,13,http://192.168.33.4/1,3,0,0
1675931029892,5,HTTP Request Little 2KB,200,OK,Thread Group 1 - Little 750 1-13,,true,,2309,122,13,13,http://192.168.33.4/cSE5YWFXH7Ev,5,0,2
1675931029942,4,HTTP Request Little 1KB,200,OK,Thread Group 1 - Little 750 1-14,,true,,1285,111,14,14,http://192.168.33.4/1,4,0,2
